               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.029767,            0.024495,          0.00055517,             0.76821,             0.73808,             0.69837,             0.32119,            0.041679,            0.026138,          0.00094555,           0.0024195,           0.0024195,           0.0024195
                  76,            0.029997,            0.024854,          0.00060976,             0.79353,             0.77743,             0.74366,             0.31628,               0.041,            0.024604,          0.00078724,            0.002318,            0.002318,            0.002318
                  77,            0.029538,            0.022658,          0.00049219,             0.80015,             0.77593,             0.75387,             0.33066,            0.040801,            0.024821,          0.00086514,           0.0022196,           0.0022196,           0.0022196
                  78,            0.029383,            0.018331,          0.00055012,              0.8261,              0.7945,             0.79628,             0.36824,            0.038815,            0.022961,          0.00073066,           0.0021245,           0.0021245,           0.0021245
                  79,            0.027654,            0.020879,          0.00049866,             0.79539,             0.79169,             0.75746,             0.35632,            0.039729,            0.024269,          0.00071341,           0.0020327,           0.0020327,           0.0020327
                  80,            0.029384,            0.024914,          0.00051399,             0.82121,             0.79894,             0.78129,             0.36561,            0.038702,              0.0233,          0.00059435,           0.0019443,           0.0019443,           0.0019443
                  81,            0.028343,            0.017262,          0.00054907,             0.80541,             0.81365,             0.78855,             0.36841,            0.038604,            0.023205,          0.00067785,           0.0018594,           0.0018594,           0.0018594
                  82,            0.029052,            0.019852,          0.00049775,             0.81371,             0.76379,             0.75525,             0.35607,            0.039898,            0.024317,          0.00074695,           0.0017781,           0.0017781,           0.0017781
                  83,             0.02809,            0.018698,          0.00038427,             0.79615,              0.7941,             0.76165,             0.35956,            0.039763,            0.024114,          0.00074593,           0.0017005,           0.0017005,           0.0017005
                  84,             0.02835,            0.023218,          0.00054232,             0.79504,             0.80111,             0.77168,             0.35183,            0.040253,            0.023424,           0.0006278,           0.0016267,           0.0016267,           0.0016267
                  85,            0.027953,            0.018752,          0.00040872,             0.80393,             0.79484,             0.77646,              0.3523,            0.039979,            0.024525,          0.00072385,           0.0015566,           0.0015566,           0.0015566
                  86,            0.027781,            0.023617,          0.00056723,             0.75773,             0.75157,             0.70413,             0.32383,            0.041532,            0.027408,          0.00073613,           0.0014905,           0.0014905,           0.0014905
                  87,              0.0281,            0.022443,          0.00041887,             0.74125,             0.75258,             0.69922,             0.32135,            0.041974,            0.028301,          0.00075591,           0.0014283,           0.0014283,           0.0014283
                  88,            0.027867,            0.028788,          0.00048636,             0.74913,             0.72664,             0.68607,             0.31426,            0.042411,            0.028362,           0.0007669,           0.0013701,           0.0013701,           0.0013701
                  89,            0.027551,            0.017632,           0.0004133,             0.79084,             0.79018,             0.75653,             0.34431,            0.039902,             0.02469,          0.00079381,            0.001316,            0.001316,            0.001316
                  90,            0.027131,            0.019963,          0.00044096,                0.82,             0.80526,             0.78933,             0.37132,            0.038929,            0.023586,          0.00073983,            0.001266,            0.001266,            0.001266
                  91,            0.027501,            0.022546,          0.00044147,             0.80936,             0.80393,             0.78187,             0.37658,            0.038983,            0.023642,          0.00082499,           0.0012202,           0.0012202,           0.0012202
                  92,            0.027071,            0.017567,          0.00041328,             0.81969,             0.78184,             0.77686,             0.36328,            0.039599,            0.024907,          0.00091364,           0.0011787,           0.0011787,           0.0011787
                  93,            0.026292,            0.017454,          0.00044357,             0.76963,             0.77359,             0.73044,              0.3385,            0.040725,            0.026362,          0.00085731,           0.0011414,           0.0011414,           0.0011414
                  94,            0.027286,            0.021311,          0.00043071,             0.80444,             0.77211,              0.7591,              0.3554,            0.039214,            0.025049,          0.00078947,           0.0011084,           0.0011084,           0.0011084
                  95,            0.026686,            0.018296,          0.00043392,             0.79276,             0.76088,             0.73807,             0.34702,            0.040184,            0.025892,          0.00067324,           0.0010797,           0.0010797,           0.0010797
                  96,            0.026996,            0.018604,          0.00045746,             0.80921,             0.76437,              0.7463,             0.34827,            0.040238,            0.026707,          0.00085494,           0.0010554,           0.0010554,           0.0010554
                  97,            0.026905,            0.022404,          0.00030598,             0.80539,             0.78875,             0.76597,             0.36577,            0.039634,            0.025665,          0.00075806,           0.0010355,           0.0010355,           0.0010355
                  98,            0.026508,            0.020514,          0.00034192,             0.81977,             0.75939,             0.75186,             0.34471,            0.040516,            0.026986,          0.00085116,             0.00102,             0.00102,             0.00102
                  99,            0.026124,            0.021884,           0.0005296,             0.82996,             0.78105,             0.77585,             0.36082,            0.039319,            0.025075,          0.00085486,           0.0010089,           0.0010089,           0.0010089
